gene,coef,abs_coef
SF3A1,-0.004381952339706054,0.004381952339706054
KHDC1-AS1,-0.004240476151596732,0.004240476151596732
MLKL,-0.004178326468110648,0.004178326468110648
WWC2,-0.004074242199941708,0.004074242199941708
ENSG00000230333,-0.0040276962179560975,0.0040276962179560975
CDYL2,-0.004009844585875298,0.004009844585875298
ANGPT2,-0.0040098105825793215,0.0040098105825793215
PBX1,-0.004001979987967945,0.004001979987967945
FZD2,-0.003989532811230581,0.003989532811230581
NHEJ1,-0.00398911163470498,0.00398911163470498
TRAF3IP2-AS1,-0.003985897723098785,0.003985897723098785
PDLIM3,-0.003971210000369909,0.003971210000369909
LRRC47,-0.0039695216302784815,0.0039695216302784815
ELF3-AS1,-0.003967351839091814,0.003967351839091814
ENSG00000291136,-0.003941416108542902,0.003941416108542902
PSMG4,-0.003941375470901123,0.003941375470901123
N4BP2L2,-0.003922501484338668,0.003922501484338668
SSBP3,0.0039161439210895635,0.0039161439210895635
EML1,-0.0039071276660056576,0.0039071276660056576
GABPB1-AS1,-0.003905680797119501,0.003905680797119501
ETFBKMT,-0.003895619436080337,0.003895619436080337
MRPS30,-0.003875567230554888,0.003875567230554888
ZNF587,-0.0038324584046607866,0.0038324584046607866
ENSG00000228343,-0.003831477817461644,0.003831477817461644
PRKAG1,-0.003831477817461644,0.003831477817461644
Y_RNA,-0.003810761985413681,0.003810761985413681
GPALPP1,-0.0037778405597126163,0.0037778405597126163
SCO1,-0.0037746233776342598,0.0037746233776342598
MYO5A,-0.003772188228654969,0.003772188228654969
ENSG00000224905,-0.003752708353817419,0.003752708353817419
CFAP251,-0.003744214556774116,0.003744214556774116
LUC7L3,-0.0037412257756856268,0.0037412257756856268
ATG4B,-0.0037377109927782225,0.0037377109927782225
ZSCAN30,-0.003737245020174186,0.003737245020174186
ARSA,-0.0037204598724871344,0.0037204598724871344
GFM1,-0.003720145952991461,0.003720145952991461
ENSG00000244055,-0.003715906968829363,0.003715906968829363
AARS1,-0.0036903953556874473,0.0036903953556874473
ENSG00000278963,-0.003678650234324037,0.003678650234324037
TAB3,-0.0036769213453836996,0.0036769213453836996
HERC4,-0.0036681129020739623,0.0036681129020739623
SULF1,-0.0036670693508912694,0.0036670693508912694
ANAPC5,-0.003664793208330993,0.003664793208330993
FASTKD2,-0.00366244210385623,0.00366244210385623
ENSG00000275964,-0.00366244210385623,0.00366244210385623
ENSG00000272420,-0.00366244210385623,0.00366244210385623
HHAT,-0.00366244210385623,0.00366244210385623
ENSG00000285857,-0.00366244210385623,0.00366244210385623
PTPRG,-0.003662440177467812,0.003662440177467812
CIT,-0.003640595450715102,0.003640595450715102
ARF6,0.0036372068274237983,0.0036372068274237983
RSPH3,-0.003635675872960903,0.003635675872960903
AVL9,-0.003620037394366134,0.003620037394366134
TYK2,-0.003618866241910447,0.003618866241910447
NFE2L2,-0.0036032900879888643,0.0036032900879888643
RAB30,-0.003599163209450846,0.003599163209450846
LIMS2,-0.003594990559509458,0.003594990559509458
BLZF2P,-0.003584866920159875,0.003584866920159875
PTK2,-0.003582813990485792,0.003582813990485792
CNIH1,-0.0035736255098700086,0.0035736255098700086
ANXA2R-OT1,-0.0035726448663249465,0.0035726448663249465
ENSG00000286458,-0.00357054101133349,0.00357054101133349
AJAP1,-0.0035700942861675343,0.0035700942861675343
SH3RF1,-0.0035595446485538903,0.0035595446485538903
MBD5,-0.0035557131012189727,0.0035557131012189727
NPAS3,-0.0035528773666043062,0.0035528773666043062
CCDC68,-0.0035528773666043062,0.0035528773666043062
ALS2,-0.0035505477968427544,0.0035505477968427544
ENSG00000283175,-0.0035459860646592863,0.0035459860646592863
SLC3A1,-0.003527005107906095,0.003527005107906095
FKBP14,-0.003521425293099495,0.003521425293099495
ZNF107,-0.0035160103555334846,0.0035160103555334846
ENSG00000285664,-0.003507587803201031,0.003507587803201031
DDX18,-0.0035062497084760455,0.0035062497084760455
NAXD,0.00350298442586085,0.00350298442586085
ZNF611,-0.0034998516501541397,0.0034998516501541397
NPTXR,-0.0034952461921804964,0.0034952461921804964
ACTBP2,-0.0034949798545536423,0.0034949798545536423
ZNF148,-0.0034883149793665793,0.0034883149793665793
ENSG00000183308,-0.0034848491258655666,0.0034848491258655666
KLC1-AS1,-0.003484518445061906,0.003484518445061906
TBC1D8,-0.0034828674040139436,0.0034828674040139436
TAB2,-0.0034827466851339623,0.0034827466851339623
ITGA9,-0.0034818415121939984,0.0034818415121939984
CEP135,-0.0034779561059364713,0.0034779561059364713
ARHGAP29,-0.0034700742087596186,0.0034700742087596186
NALF1,-0.0034605373979362327,0.0034605373979362327
NIPA2,-0.0034594150650350893,0.0034594150650350893
MSX2,-0.0034534693271736244,0.0034534693271736244
MPRIP-AS1,-0.0034534693271736244,0.0034534693271736244
